Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5419","Yield","15","Wheat","1966","1966","hg/ha","8268","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1735","Vegetables Primary","1966","1966","ha","3178150","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1735","Vegetables Primary","1966","1966","hg/ha","69687","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","27","Rice","1966","1966","ha","35251008","A","Official figure"
"QCL","Crops and livestock products","100","India","5419","Yield","27","Rice","1966","1966","hg/ha","12952","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","15","Wheat","1966","1966","ha","55000","A","Official figure"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","15","Wheat","1966","1966","hg/ha","6473","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","1735","Vegetables Primary","1966","1966","ha","166284","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","1735","Vegetables Primary","1966","1966","hg/ha","61721","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice","1966","1966","ha","9075000","A","Official figure"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice","1966","1966","hg/ha","15827","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","15","Wheat","1966","1966","ha","5155000","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","15","Wheat","1966","1966","hg/ha","7597","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","1735","Vegetables Primary","1966","1966","ha","124600","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","1735","Vegetables Primary","1966","1966","hg/ha","67119","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","27","Rice","1966","1966","ha","1409535","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","27","Rice","1966","1966","hg/ha","14523","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","15","Wheat","1967","1967","ha","12838000","A","Official figure"
"QCL","Crops and livestock products","100","India","5419","Yield","15","Wheat","1967","1967","hg/ha","8874","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1735","Vegetables Primary","1967","1967","ha","3224150","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1735","Vegetables Primary","1967","1967","hg/ha","70934","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","27","Rice","1967","1967","ha","36437408","A","Official figure"
"QCL","Crops and livestock products","100","India","5419","Yield","27","Rice","1967","1967","hg/ha","15484","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","15","Wheat","1967","1967","ha","68000","A","Official figure"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","15","Wheat","1967","1967","hg/ha","7926","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","1735","Vegetables Primary","1967","1967","ha","175876","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","1735","Vegetables Primary","1967","1967","hg/ha","63167","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice","1967","1967","ha","9889400","A","Official figure"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice","1967","1967","hg/ha","16944","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","15","Wheat","1967","1967","ha","5344000","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","15","Wheat","1967","1967","hg/ha","8110","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","1735","Vegetables Primary","1967","1967","ha","113030","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","1735","Vegetables Primary","1967","1967","hg/ha","82049","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","27","Rice","1967","1967","ha","1419653","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","27","Rice","1967","1967","hg/ha","15835","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","15","Wheat","1968","1968","ha","14998200","A","Official figure"
"QCL","Crops and livestock products","100","India","5419","Yield","15","Wheat","1968","1968","hg/ha","11028","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1735","Vegetables Primary","1968","1968","ha","3281850","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1735","Vegetables Primary","1968","1968","hg/ha","72067","E","Estimated value"
